Age,Education_Years,Gender,Hours_worked_Perweek,Income
39,13, Male,40, <=50K
50,13, Male,13, <=50K
38,9, Male,40, <=50K
53,7, Male,40, <=50K
28,13, Female,40, <=50K
37,14, Female,40, <=50K
49,5, Female,16, <=50K
52,9, Male,45, >50K
31,14, Female,50, >50K
42,13, Male,40, >50K
37,10, Male,80, >50K
30,13, Male,40, >50K
23,13, Female,30, <=50K
32,12, Male,50, <=50K
40,11, Male,40, >50K
34,4, Male,45, <=50K
25,9, Male,35, <=50K
32,9, Male,40, <=50K
38,7, Male,50, <=50K
43,14, Female,45, >50K
40,16, Male,60, >50K
54,9, Female,20, <=50K
35,5, Male,40, <=50K
43,7, Male,40, <=50K
59,9, Female,40, <=50K
56,13, Male,40, >50K
19,9, Male,40, <=50K
54,10, Male,60, >50K
39,9, Male,80, <=50K
49,9, Male,40, <=50K
23,12, Male,52, <=50K
20,10, Male,44, <=50K
45,13, Male,40, <=50K
30,10, Male,40, <=50K
22,10, Male,15, <=50K
48,7, Male,40, <=50K
21,10, Male,40, <=50K
19,9, Female,25, <=50K
31,10, Male,38, >50K
48,12, Male,40, <=50K
31,5, Male,43, <=50K
53,13, Male,40, <=50K
24,13, Male,50, <=50K
49,9, Female,40, <=50K
25,9, Male,35, <=50K
57,13, Male,40, >50K
53,9, Male,38, <=50K
44,14, Female,40, <=50K
41,11, Male,40, <=50K
29,11, Male,43, <=50K
25,10, Female,40, <=50K
18,9, Female,30, <=50K
47,15, Female,60, >50K
50,13, Male,55, >50K
47,9, Male,60, <=50K
43,10, Male,40, >50K
46,3, Male,40, <=50K
35,11, Male,40, <=50K
41,9, Male,48, <=50K
30,9, Male,40, <=50K
30,13, Male,40, <=50K
32,4, Male,40, <=50K
48,9, Male,40, <=50K
42,16, Male,45, >50K
29,10, Male,58, <=50K
36,9, Male,40, <=50K
28,10, Female,40, <=50K
53,9, Female,40, >50K
49,10, Male,50, >50K
25,10, Male,40, <=50K
19,10, Male,32, <=50K
31,13, Female,40, <=50K
29,13, Male,70, >50K
23,10, Male,40, <=50K
79,10, Male,20, <=50K
27,9, Male,40, <=50K
40,12, Male,40, <=50K
67,6, Male,2, <=50K
18,7, Female,22, <=50K
31,4, Male,40, <=50K
18,9, Male,30, <=50K
52,13, Male,40, <=50K
46,9, Female,40, <=50K
59,9, Male,48, <=50K
44,9, Female,40, >50K
53,9, Female,35, <=50K
49,9, Male,40, >50K
33,14, Male,50, <=50K
30,5, Male,40, <=50K
43,16, Female,50, >50K
57,11, Male,40, <=50K
37,10, Female,40, <=50K
28,10, Female,25, <=50K
30,9, Female,35, <=50K
34,13, Male,40, >50K
29,10, Male,50, <=50K
48,16, Male,60, >50K
37,10, Male,48, >50K
48,12, Female,40, <=50K
32,9, Male,40, <=50K
76,14, Male,40, >50K
44,13, Male,60, >50K
47,14, Female,50, <=50K
20,10, Female,40, <=50K
29,9, Male,40, <=50K
32,9, Male,40, >50K
17,6, Female,32, <=50K
30,7, Male,40, <=50K
31,9, Female,40, <=50K
42,9, Male,40, <=50K
24,13, Male,40, <=50K
38,15, Male,40, >50K
56,9, Male,50, >50K
28,10, Female,25, <=50K
36,9, Female,40, <=50K
53,5, Male,50, <=50K
56,10, Male,50, <=50K
49,11, Male,40, >50K
55,10, Male,56, <=50K
22,9, Male,41, <=50K
21,10, Female,40, <=50K
40,13, Male,60, <=50K
30,13, Male,40, <=50K
29,13, Male,50, >50K
19,10, Male,35, <=50K
47,13, Female,40, >50K
20,10, Female,28, <=50K
31,12, Male,40, >50K
35,9, Male,40, <=50K
39,10, Male,40, <=50K
28,12, Female,60, <=50K
24,9, Female,40, <=50K
38,9, Male,35, <=50K
37,13, Male,50, <=50K
46,12, Female,36, <=50K
38,14, Male,40, >50K
43,9, Male,60, <=50K
27,11, Female,35, <=50K
20,10, Male,20, <=50K
49,10, Male,40, >50K
61,9, Male,40, <=50K
27,10, Female,40, <=50K
19,10, Male,30, <=50K
45,11, Female,40, >50K
70,10, Male,40, <=50K
31,9, Female,30, <=50K
22,10, Male,24, <=50K
36,9, Female,24, <=50K
64,7, Male,40, <=50K
